Sex Agemos   L        M        S        P3       P5       P10      P25      P50      P75      P90      P95      P97
2    38.0    -0.3230  14.2265   0.13059  11.2     11.6     12.5     13.0     14.2     15.6     16.3     17.8     18.4
2    39.0    -0.3243  14.4140   0.13135  11.4     11.7     12.6     13.2     14.4     15.8     16.6     18.0     18.6
2    40.0    -0.3257  14.6010   0.13213  11.5     11.8     12.8     13.4     14.6     16.0     16.8     18.3     18.9
2    41.0    -0.3270  14.7873   0.13293  11.6     12.0     12.9     13.5     14.8     16.2     17.0     18.6     19.2
2    42.0    -0.3283  14.9727   0.13376  11.8     12.1     13.1     13.7     15.0     16.4     17.3     18.8     19.5
2    43.0    -0.3296  15.1573   0.13460  11.9     12.2     13.2     13.9     15.2     16.6     17.5     19.1     19.7
2    44.0    -0.3309  15.3410   0.13545  12.0     12.4     13.4     14.0     15.3     16.8     17.7     19.3     20.0
2    45.0    -0.3322  15.5240   0.13630  12.1     12.5     13.5     14.2     15.5     17.0     17.9     19.6     20.3
2    46.0    -0.3335  15.7064   0.13716  12.3     12.6     13.7     14.3     15.7     17.3     18.2     19.9     20.6
2    47.0    -0.3348  15.8882   0.13800  12.4     12.8     13.8     14.5     15.9     17.5     18.4     20.1     20.8
2    48.0    -0.3361  16.0697   0.13884  12.5     12.9     14.0     14.7     16.1     17.7     18.6     20.4     21.1
2    49.0    -0.3374  16.2511   0.13968  12.6     13.0     14.1     14.8     16.3     17.9     18.9     20.6     21.4
2    50.0    -0.3387  16.4322   0.14051  12.8     13.2     14.3     15.0     16.4     18.1     19.1     20.9     21.7
2    51.0    -0.3400  16.6133   0.14132  12.9     13.3     14.4     15.1     16.6     18.3     19.3     21.2     22.0
2    52.0    -0.3414  16.7942   0.14213  13.0     13.4     14.5     15.3     16.8     18.5     19.5     21.4     22.2
2    53.0    -0.3427  16.9748   0.14293  13.1     13.5     14.7     15.4     17.0     18.7     19.8     21.7     22.5
2    54.0    -0.3440  17.1551   0.14371  13.2     13.7     14.8     15.6     17.2     18.9     20.0     22.0     22.8
2    55.0    -0.3453  17.3347   0.14448  13.4     13.8     15.0     15.8     17.3     19.1     20.2     22.2     23.1
2    56.0    -0.3466  17.5136   0.14525  13.5     13.9     15.1     15.9     17.5     19.3     20.4     22.5     23.3
2    57.0    -0.3479  17.6916   0.14600  13.6     14.0     15.3     16.1     17.7     19.6     20.7     22.7     23.6
2    58.0    -0.3492  17.8686   0.14675  13.7     14.2     15.4     16.2     17.9     19.8     20.9     23.0     23.9
2    59.0    -0.3505  18.0445   0.14748  13.8     14.3     15.5     16.4     18.0     20.0     21.1     23.3     24.2
2    60.0    -0.3518  18.2193   0.14821  14.0     14.4     15.7     16.5     18.2     20.2     21.3     23.5     24.4
